Protein IDs,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A0A075B6P5,61316838.78696793,-2.601443950825026,3.452643291581007,-0.7534644419156875,0.45117087105793807,0.79208011202037
Q99880,43171122.4074354,-0.3260123671318646,2.2061099432819957,-0.14777702631033024,0.8825187405992206,0.9607166036902909
O75592,4718985.708857942,-1.2400022587015684,1.6791457231635851,-0.7384720942297666,0.4602276187538994,0.79208011202037
P00338,11861225.742447924,-2.168068260044296,1.9323328792411556,-1.1219952231500174,0.26186447094847776,0.613886071863554
P00450,4981944.692416428,-5.0019598843317095,2.772029819751319,-1.8044394214995996,0.07116244778424823,0.613886071863554
P00738,12938115.702446263,-6.082011227851549,2.556942661333255,-2.3786263649260846,0.017377279720902108,0.3119254795972306
P01009,9845654.814197546,-3.053620965553357,2.6209692589497204,-1.1650731709753093,0.24398937572474555,0.613886071863554
P01023,14473086.601803228,-3.7495644061368916,2.8509539461854576,-1.3151964138718424,0.1884439000814282,0.613886071863554
P01024,14176020.871705612,-3.9551940049322205,2.4311145753549552,-1.6269056362161547,0.1037571407563993,0.613886071863554
P01036,17953845.91820275,-2.6419877498699424,2.376880965843975,-1.1115355744926143,0.26633788624331967,0.613886071863554
P01619,25701320.91678664,-3.8707562526579506,3.3678202532685972,-1.149335760690089,0.2504175577020492,0.613886071863554
P01700,33831744.63748169,-2.3464989091651556,2.9264133174192306,-0.801834414570839,0.4226487484374609,0.79208011202037
P01833,18361467.337243926,-3.2974440514595496,1.9819559750929345,-1.6637322387067308,0.09616595067058852,0.613886071863554
P01857,7383917.320609732,-3.291487654291769,2.579380296202799,-1.2760769162799643,0.201928330729801,0.613886071863554
P01859,29696886.702261817,-2.4554444586659776,2.4231861527449996,-1.013312351543622,0.31091098964172037,0.6684586277296988
P01860,2276240.5712108975,-2.187189484831282,3.5068190867119675,-0.6236961276727894,0.5328271666491013,0.8232318213058062
P01871,23694683.025613472,-1.8470166144223397,1.4607324079397281,-1.264445564692743,0.2060701472798092,0.613886071863554
P01876,25206685.40405392,-2.5751330256638867,2.1900890787844167,-1.1758120026301324,0.23967000900393065,0.613886071863554
P02671,6780661.108447263,-3.419672542151823,2.5845933445631903,-1.3230988733083522,0.18580249936053628,0.613886071863554
P02675,16141193.752565404,-7.61608004488754,2.7674661622458654,-2.7520047575602185,0.00592316603928657,0.25469613968932253
P02787,47735986.965526335,-2.7145111667970214,2.0206321775320797,-1.3433969808955621,0.17914346397488334,0.613886071863554
P02788,28700158.916915037,-3.374254274941563,1.4332543378116722,-2.3542606402248585,0.018559592410290596,0.3119254795972306
P02790,17692684.80554267,-1.9231667492695719,2.425709948773464,-0.7928263435791248,0.4278790058817067,0.79208011202037
P04004,2037182.8532427247,-0.29299912360371144,3.533840905701448,-0.08291236969128714,0.9339212183176023,0.9708661765898351
P04075,2838297.8582751444,-0.7650477523240969,3.5338408388413782,-0.21649185325927953,0.8286043747564721,0.9607166036902909
P04083,27229822.038159747,3.7807581464187363,1.3108768301759521,2.884144459179483,0.0039247866642284045,0.25469613968932253
P04259,8999790.730030503,1.1725729585748683,0.8086766919269318,1.4499898046781055,0.14706136231932537,0.613886071863554
P04406,6490372.113264276,-2.829549784780458,3.5338408370229715,-0.8007009696464337,0.4233047810820404,0.79208011202037
Q6FI13,7812869.4306580005,-1.5671426303508635,3.5338408125616043,-0.443467239605192,,
P05109,25823817.4985005,0.43058080157785544,1.3447632532875886,0.32019078490224945,0.7488237083651959,0.9470417488148065
P05164,9845584.261338636,-2.839201732367779,1.9463888743499789,-1.458702199639302,0.14464709042867524,0.613886071863554
P06702,114578748.94210331,-0.046557009877522135,0.6664985540730382,-0.069853129602469,0.9443105591087239,0.9708661765898351
P06733,32332550.92353925,-2.408047323971593,0.9949984274879337,-2.4201518891353175,0.015514025446975107,0.3119254795972306
P06744,2030557.039842905,-3.642145152894188,3.1874271247753936,-1.1426598978794964,0.25317982595431765,0.613886071863554
P07237,4789762.3699071845,0.9142929494865365,2.57848240531651,0.35458568482041153,0.7229000020533012,0.9364223273347454
P07437,4348788.60773494,-0.6086428983010674,3.3063117810591396,-0.18408514943684337,0.8539466564233981,0.9607166036902909
P07737,9749473.862303415,-1.7277033731238227,2.3898574162516697,-0.7229315696304631,0.46972192689580083,0.79208011202037
P07900,5232768.522867063,-0.21936186987711373,1.9099726182221084,-0.11485079303456508,0.9085633883719987,0.9708661765898351
P08246,4242153.281067816,-1.5370208318048186,3.2998767215856,-0.4657812886616794,0.6413720597786068,0.86636669217119
P08311,9075213.286216848,-0.7595751788240448,3.0821766414765412,-0.24644115739588637,0.8053407494421527,0.9607166036902909
P08670,6201940.247874738,-1.547496350039181,3.066975462105127,-0.5045675680029739,0.6138625936913314,0.86636669217119
P09211,9145504.435069233,-1.485521373413326,2.4109568171979148,-0.6161542848120534,0.5377926970556585,0.8232318213058062
P0C0L5,2479926.005522406,-5.515595074665017,3.4507206392677783,-1.598389336969159,0.10995635622322528,0.613886071863554
P62987,22299214.287275054,-0.35087412718783917,1.6825384289167995,-0.20853855172492447,0.8348084843176209,0.9607166036902909
P0DMV8,4759888.864095699,-2.0254765794872593,3.343572757615028,-0.605782115814352,0.5446594470924757,0.8232318213058062
P0DOY3,31131344.756372094,-4.586882530509209,3.146403638439417,-1.4578175776532771,0.1448908319078401,0.613886071863554
P11142,11224946.022049243,-1.27434456578688,2.2160465807637513,-0.5750531495360908,0.5652553519853991,0.838137246047316
P11684,11353589.36195548,-0.593489003881763,3.533840819479936,-0.16794446445075156,0.8666269693152631,0.9607166036902909
P12273,4567476.947249795,-1.6293991287282497,3.5338408377539747,-0.46108446971365497,0.6447380034762344,0.86636669217119
P13639,2479113.247889156,-1.057054829210757,3.057371611583666,-0.3457397279433823,0.7295383247840459,0.9364223273347454
P13796,3322333.7721982384,-2.814245488083281,2.5327925208972983,-1.1111235779732451,0.2665151602926856,0.613886071863554
P14618,13553216.958000675,-2.4092755144156706,2.1976609755340615,-1.096290802465646,0.27295153314636056,0.613886071863554
P14780,1070524.9384198363,-4.669184802753856,3.5338418719383875,-1.3212772308322638,0.18640894309958977,0.613886071863554
P15311,5303794.517480717,-0.511144542364008,2.1510211057510884,-0.2376287898790876,0.8121690189245672,0.9607166036902909
P17066,3630486.020194471,-1.6895990157625043,2.7958644989146135,-0.6043207803591433,0.5456303931910575,0.8232318213058062
P20160,13274799.207092512,-4.594995993681122,3.318564682682596,-1.384633548853027,0.16616454761345523,0.613886071863554
P22079,1119581.215839733,2.154181342228206,2.947529711240138,0.7308429611458809,0.46487507910360093,0.79208011202037
P23528,22741447.874492645,-4.277485689024373,2.6792933775903873,-1.5964976903243473,0.11037772101971625,0.613886071863554
P24158,10919561.69797913,-2.056235920171878,3.1129700534184064,-0.6605382913702911,0.5089084542808651,0.8232318213058062
P25311,29206421.589674264,-2.840819329655865,2.4256916034175124,-1.171137883172571,0.24154335861324894,0.613886071863554
P26641,1824859.5583276812,-0.4343294346420687,2.75747469059307,-0.15750985353510327,0.8748430428272685,0.9607166036902909
P27797,2657652.2730015465,1.4696107605454072,3.0326247850259316,0.48460026040868776,0.6279599289457883,0.86636669217119
P29401,7768195.4038988035,-3.292011230572011,2.616401259941331,-1.2582210844241182,0.208311811782384,0.613886071863554
P29508,20153214.696784787,-6.189251047502498,2.814535851185532,-2.199030808186535,0.027875731747676318,0.3424732757571662
P30740,17126626.73229264,1.398939300049813,1.8829836389635795,0.7429375758250395,0.45751947479395094,0.79208011202037
P31146,3679593.8146550716,-5.169582894456043,2.4907542947732755,-2.0755089754554095,0.037939387889227155,0.4078484198091919
P32119,4222202.726935613,-2.8887723309436124,3.300641951153123,-0.8752152986283112,0.3814567706036446,0.7629135412072892
P55072,624594.194764198,-1.679589446553095,3.4153933572464554,-0.4917704260885507,0.622881645435685,0.86636669217119
P59666,164899790.1604056,0.3441416304711241,1.8895754273421221,0.18212643194412936,0.8554835059302243,0.9607166036902909
P60174,12450242.248859553,-5.7389371250560455,3.337367152044031,-1.7196001709135087,0.08550514509276491,0.613886071863554
P61626,17241501.162797242,-3.757803725087087,2.6266916282249455,-1.4306223405548826,0.15253848113821603,0.613886071863554
P62258,3921472.4030616432,-0.3364176894343746,3.53384082014274,-0.09519888035612932,0.9241568592958098,0.9708661765898351
P62937,5944041.965207688,-3.679478760304061,3.1200057052188996,-1.1793179589862028,0.23827158968417395,0.613886071863554
P63104,33684808.400597766,-0.3314989557815164,1.4479022029968316,-0.22895120616253514,0.8189068406412927,0.9607166036902909
P63261,2263331.1041585105,-3.2817366052108086,2.5373935693298093,-1.2933494609894511,0.19589022117954347,0.613886071863554
P68363,9090084.876404855,-0.0702046489426603,2.880412851632321,-0.024373120298666753,0.9805549888490436,0.9805549888490436
P68431,58643985.6344202,-0.049732212756437404,1.9370109555735175,-0.025674719398637837,0.9795167882058164,0.9805549888490436
P68871,35869999.817876466,-3.7204343720587847,3.432316388613452,-1.083942722879846,0.2783901953799838,0.613886071863554
P80723,2910192.6022303426,-4.608711944553979,2.0085977850265695,-2.294492196949732,0.021762242762597483,0.3119254795972306
Q01469,49268467.26860282,-3.7786230209832237,2.721950353918864,-1.3882042394869694,0.1650748617084643,0.613886071863554
Q01518,3272585.0503421733,-2.9657163238336874,3.013901096941754,-0.9840124902715088,0.3251093716746193,0.6693972352434422
Q08380,3150583.7858754667,-2.3943604056922174,3.4087010316171815,-0.7024260512973961,0.4824135035707424,0.7978377174439201
Q15365,3062084.7339078994,-3.186718593377477,3.250603137186568,-0.9803468645316131,0.32691492883982065,0.6693972352434422
Q6P5S2,10772918.925024016,-0.2291941532943455,3.5338407987858638,-0.0648569548953905,0.9482878934133274,0.9708661765898351
Q8N4F0,4174628.5267274766,1.3731075207940207,3.5338408119432274,0.38855952881447453,0.6976020099624234,0.9229811208733602
Q8TDL5,5901828.483713117,1.6347629355472464,3.0696496372731583,0.5325568480836284,0.5943403799342459,0.8663266554973753
Q9H6R0,5390301.82721965,-0.5393064634067125,3.3085371912585018,-0.16300450387307602,0.8705148885245702,0.9607166036902909
